#sample number,P,I,overshoot,t5%
303,1.25E+02,7.41E+02,1.80E-02,2.53E-01
304,1.91E+02,9.39E+02,4.83E-02,1.62E-01
305,1.73E+02,8.24E+02,1.77E-02,2.04E-01
306,1.91E+02,9.20E+02,4.30E-02,1.78E-01
307,1.90E+02,8.76E+02,3.00E-02,1.83E-01
308,1.89E+02,8.92E+02,3.53E-02,1.86E-01
309,1.03E+02,6.60E+02,1.03E-02,2.91E-01
310,1.56E+02,7.43E+02,0.00E+00,2.31E-01
311,1.74E+02,7.82E+02,3.28E-03,2.06E-01
312,1.56E+02,7.41E+02,0.00E+00,2.22E-01
313,1.73E+02,8.23E+02,1.73E-02,1.95E-01
314,1.94E+02,8.99E+02,3.62E-02,1.85E-01
315,1.66E+02,8.19E+02,1.87E-02,2.12E-01
316,1.74E+02,8.76E+02,3.46E-02,1.95E-01
317,1.82E+02,8.53E+02,2.46E-02,1.90E-01
318,2.04E+02,9.39E+02,4.58E-02,1.77E-01
319,1.88E+02,8.90E+02,3.46E-02,1.86E-01
320,1.90E+02,8.74E+02,2.96E-02,1.83E-01
321,1.74E+02,8.19E+02,1.56E-02,2.03E-01
322,1.56E+02,7.82E+02,9.71E-03,2.20E-01
323,1.37E+02,7.41E+02,6.89E-03,2.46E-01
324,1.74E+02,8.19E+02,1.57E-02,2.03E-01
325,1.89E+02,8.54E+02,2.37E-02,1.83E-01
326,1.56E+02,7.50E+02,0.00E+00,2.32E-01
327,1.56E+02,7.41E+02,0.00E+00,2.22E-01
328,1.56E+02,7.41E+02,0.00E+00,2.22E-01
329,1.74E+02,8.18E+02,1.54E-02,2.03E-01
330,1.63E+02,7.41E+02,0.00E+00,2.29E-01
331,1.19E+02,7.84E+02,4.34E-02,2.34E-01
332,1.56E+02,7.41E+02,0.00E+00,2.22E-01
333,1.91E+02,9.39E+02,4.83E-02,1.62E-01
334,1.55E+02,7.41E+02,0.00E+00,2.30E-01
335,1.27E+02,7.59E+02,2.33E-02,2.41E-01
336,1.59E+02,7.43E+02,0.00E+00,2.28E-01
337,1.74E+02,7.82E+02,3.28E-03,2.06E-01
338,1.74E+02,8.20E+02,1.62E-02,2.03E-01
339,2.00E+02,9.18E+02,4.07E-02,1.74E-01
340,1.33E+02,7.82E+02,2.73E-02,2.35E-01
341,1.90E+02,8.65E+02,2.69E-02,1.82E-01
342,1.74E+02,7.82E+02,3.21E-03,2.06E-01
343,1.90E+02,8.68E+02,2.76E-02,1.79E-01
344,1.91E+02,9.36E+02,4.76E-02,1.78E-01
345,1.56E+02,7.41E+02,0.00E+00,2.22E-01
346,1.97E+02,9.39E+02,4.75E-02,1.78E-01
347,1.91E+02,9.39E+02,4.83E-02,1.62E-01
348,1.56E+02,8.34E+02,2.90E-02,2.06E-01
349,1.57E+02,7.41E+02,0.00E+00,2.22E-01
350,2.00E+02,9.15E+02,3.98E-02,1.74E-01
351,1.72E+02,7.85E+02,4.63E-03,2.08E-01
352,1.88E+02,8.53E+02,2.32E-02,1.83E-01
353,1.57E+02,7.41E+02,0.00E+00,2.22E-01
354,1.73E+02,8.23E+02,1.73E-02,1.95E-01
355,1.91E+02,9.39E+02,4.83E-02,1.62E-01
356,1.90E+02,8.68E+02,2.76E-02,1.79E-01
357,1.91E+02,9.39E+02,4.83E-02,1.62E-01
358,1.90E+02,8.68E+02,2.76E-02,1.79E-01
359,1.52E+02,8.68E+02,4.44E-02,2.13E-01
360,1.88E+02,8.53E+02,2.34E-02,1.83E-01
361,1.74E+02,8.18E+02,1.54E-02,2.03E-01
362,1.74E+02,8.18E+02,1.54E-02,2.03E-01
363,1.74E+02,8.18E+02,1.54E-02,2.03E-01
364,1.91E+02,9.39E+02,4.83E-02,1.62E-01
365,1.91E+02,9.39E+02,4.83E-02,1.62E-01
366,1.91E+02,9.39E+02,4.83E-02,1.62E-01
367,1.91E+02,9.39E+02,4.83E-02,1.62E-01
368,1.57E+02,7.38E+02,0.00E+00,2.28E-01
369,1.88E+02,9.39E+02,4.97E-02,1.84E-01
370,1.57E+02,7.41E+02,0.00E+00,2.22E-01
371,1.57E+02,8.16E+02,2.22E-02,2.07E-01
372,1.57E+02,7.41E+02,0.00E+00,2.22E-01
373,1.90E+02,9.39E+02,4.86E-02,1.63E-01
374,2.00E+02,9.22E+02,4.20E-02,1.74E-01
375,1.57E+02,7.34E+02,0.00E+00,2.35E-01
376,1.57E+02,7.41E+02,0.00E+00,2.22E-01
377,1.88E+02,9.38E+02,4.93E-02,1.64E-01
378,1.57E+02,7.41E+02,0.00E+00,2.22E-01
379,1.03E+02,7.25E+02,4.09E-02,2.57E-01
380,1.93E+02,9.39E+02,4.82E-02,1.83E-01
381,1.66E+02,8.74E+02,3.78E-02,2.01E-01
382,1.87E+02,9.39E+02,5.00E-02,1.84E-01
383,1.91E+02,9.39E+02,4.83E-02,1.62E-01
384,1.90E+02,8.94E+02,3.53E-02,1.78E-01
385,1.57E+02,7.41E+02,0.00E+00,2.28E-01
386,1.91E+02,9.17E+02,4.21E-02,1.84E-01
387,1.57E+02,8.18E+02,2.27E-02,2.05E-01
388,1.74E+02,9.19E+02,4.88E-02,1.88E-01
389,1.87E+02,8.74E+02,2.99E-02,1.86E-01
390,1.38E+02,7.89E+02,2.56E-02,2.30E-01
391,1.74E+02,7.82E+02,3.34E-03,2.06E-01
392,1.57E+02,7.41E+02,0.00E+00,2.22E-01
393,1.90E+02,9.38E+02,4.89E-02,1.78E-01
394,1.92E+02,8.95E+02,3.56E-02,1.81E-01
395,1.55E+02,7.40E+02,0.00E+00,2.31E-01
396,1.91E+02,9.39E+02,4.83E-02,1.62E-01
397,1.74E+02,7.82E+02,3.21E-03,2.06E-01
398,1.74E+02,7.82E+02,3.21E-03,2.06E-01
399,1.31E+02,7.41E+02,1.20E-02,2.52E-01
400,1.28E+02,7.95E+02,3.74E-02,2.40E-01
401,1.77E+02,8.18E+02,1.44E-02,2.01E-01
402,1.57E+02,7.41E+02,0.00E+00,2.25E-01
403,1.56E+02,7.82E+02,9.94E-03,2.19E-01
404,1.57E+02,7.39E+02,0.00E+00,2.28E-01
405,1.87E+02,8.67E+02,2.79E-02,1.84E-01
406,1.90E+02,8.74E+02,2.94E-02,1.82E-01
407,1.87E+02,8.50E+02,2.26E-02,1.88E-01
408,2.00E+02,9.16E+02,4.01E-02,1.74E-01
409,1.90E+02,8.96E+02,3.62E-02,1.85E-01
410,1.77E+02,8.18E+02,1.44E-02,2.01E-01
411,1.57E+02,7.82E+02,9.54E-03,2.18E-01
412,1.56E+02,7.41E+02,0.00E+00,2.28E-01
413,1.91E+02,9.39E+02,4.83E-02,1.62E-01
414,2.00E+02,9.16E+02,4.01E-02,1.74E-01
415,1.74E+02,8.24E+02,1.75E-02,2.03E-01
416,1.57E+02,7.41E+02,0.00E+00,2.22E-01
417,1.57E+02,7.41E+02,0.00E+00,2.22E-01
418,1.57E+02,7.41E+02,0.00E+00,2.22E-01
419,1.57E+02,7.41E+02,0.00E+00,2.22E-01
420,1.25E+02,7.02E+02,2.00E-03,2.59E-01
421,1.57E+02,7.41E+02,0.00E+00,2.27E-01
422,1.57E+02,7.41E+02,0.00E+00,2.22E-01
423,1.57E+02,7.80E+02,8.53E-03,2.19E-01
424,1.73E+02,8.10E+02,1.27E-02,2.03E-01
425,1.87E+02,8.54E+02,2.41E-02,1.88E-01
426,1.90E+02,9.39E+02,4.88E-02,1.63E-01
427,1.57E+02,7.41E+02,0.00E+00,2.22E-01
428,1.89E+02,9.16E+02,4.21E-02,1.87E-01
429,1.73E+02,8.68E+02,3.25E-02,1.95E-01
430,1.91E+02,9.16E+02,4.19E-02,1.83E-01
431,1.35E+02,7.41E+02,8.55E-03,2.47E-01
432,1.52E+02,7.82E+02,1.25E-02,2.22E-01
433,1.87E+02,8.50E+02,2.26E-02,1.88E-01
434,1.63E+02,7.82E+02,6.72E-03,2.13E-01
435,1.73E+02,8.50E+02,2.63E-02,2.04E-01
436,1.73E+02,8.10E+02,1.26E-02,2.02E-01
437,1.74E+02,8.15E+02,1.43E-02,2.02E-01
438,1.91E+02,9.36E+02,4.76E-02,1.62E-01
439,1.56E+02,7.55E+02,0.00E+00,2.31E-01
440,1.91E+02,9.36E+02,4.76E-02,1.62E-01
441,1.44E+02,7.41E+02,1.60E-03,2.32E-01
442,1.57E+02,7.41E+02,0.00E+00,2.26E-01
443,1.74E+02,8.08E+02,1.19E-02,2.03E-01
444,1.74E+02,7.86E+02,4.33E-03,2.06E-01
445,1.41E+02,7.41E+02,3.58E-03,2.31E-01
446,1.60E+02,7.69E+02,3.22E-03,2.18E-01
447,1.92E+02,9.35E+02,4.74E-02,1.85E-01
448,1.74E+02,7.86E+02,4.33E-03,2.06E-01
449,2.03E+02,9.43E+02,4.77E-02,1.73E-01
450,1.73E+02,8.23E+02,1.73E-02,1.95E-01
451,1.66E+02,8.23E+02,2.01E-02,1.99E-01
452,1.86E+02,8.50E+02,2.25E-02,1.96E-01
453,1.87E+02,8.54E+02,2.39E-02,1.88E-01
454,1.74E+02,7.90E+02,5.77E-03,2.11E-01
455,1.74E+02,7.85E+02,4.10E-03,2.06E-01
456,1.90E+02,8.69E+02,2.77E-02,1.90E-01
457,1.90E+02,9.35E+02,4.79E-02,1.78E-01
458,1.74E+02,8.68E+02,3.21E-02,1.97E-01
459,1.55E+02,8.25E+02,2.67E-02,2.11E-01
460,1.45E+02,8.68E+02,4.98E-02,2.16E-01
461,1.24E+02,7.41E+02,1.91E-02,2.44E-01
462,1.92E+02,8.92E+02,3.45E-02,1.83E-01
463,1.74E+02,7.89E+02,5.65E-03,2.01E-01
464,1.04E+02,7.41E+02,4.71E-02,2.56E-01
465,1.91E+02,9.36E+02,4.76E-02,1.62E-01
466,1.57E+02,7.41E+02,0.00E+00,2.22E-01
467,1.91E+02,9.36E+02,4.76E-02,1.62E-01
468,1.49E+02,8.67E+02,4.64E-02,2.13E-01
469,1.91E+02,9.36E+02,4.76E-02,1.62E-01
470,1.92E+02,9.36E+02,4.76E-02,1.84E-01
471,1.62E+02,7.41E+02,0.00E+00,2.28E-01
472,2.00E+02,9.16E+02,4.01E-02,1.74E-01
473,1.90E+02,8.68E+02,2.76E-02,1.79E-01
474,1.57E+02,7.17E+02,0.00E+00,2.38E-01
475,1.74E+02,7.89E+02,5.65E-03,2.01E-01
476,1.74E+02,7.89E+02,5.65E-03,2.01E-01
477,1.91E+02,8.83E+02,3.18E-02,1.83E-01
478,1.92E+02,8.94E+02,3.49E-02,1.76E-01
479,1.46E+02,8.00E+02,2.31E-02,2.27E-01
480,1.91E+02,9.40E+02,4.90E-02,1.78E-01
481,2.00E+02,9.36E+02,4.60E-02,1.74E-01
482,1.90E+02,8.68E+02,2.78E-02,1.83E-01
483,1.70E+02,8.27E+02,1.99E-02,2.05E-01
484,1.57E+02,7.41E+02,0.00E+00,2.22E-01
485,2.00E+02,9.26E+02,4.32E-02,1.74E-01
486,1.91E+02,9.36E+02,4.76E-02,1.62E-01
487,1.57E+02,7.41E+02,0.00E+00,2.22E-01
488,1.73E+02,8.23E+02,1.73E-02,1.95E-01
489,1.57E+02,7.41E+02,0.00E+00,2.22E-01
490,1.90E+02,8.68E+02,2.76E-02,1.79E-01
491,1.57E+02,7.41E+02,0.00E+00,2.22E-01
492,1.57E+02,8.74E+02,4.31E-02,2.01E-01
493,1.57E+02,7.41E+02,0.00E+00,2.22E-01
494,2.00E+02,9.16E+02,4.01E-02,1.74E-01
495,1.86E+02,8.50E+02,2.26E-02,1.96E-01
496,1.09E+02,7.41E+02,3.87E-02,2.65E-01
497,1.57E+02,8.47E+02,3.36E-02,2.06E-01
498,1.60E+02,7.83E+02,8.61E-03,2.16E-01
499,1.26E+02,6.54E+02,0.00E+00,2.87E-01
500,1.74E+02,8.24E+02,1.74E-02,2.03E-01
501,1.73E+02,8.23E+02,1.73E-02,2.04E-01
502,1.57E+02,8.23E+02,2.47E-02,2.05E-01
503,1.57E+02,7.41E+02,0.00E+00,2.22E-01
504,1.57E+02,7.41E+02,0.00E+00,2.22E-01
505,1.91E+02,9.36E+02,4.76E-02,1.62E-01
506,1.91E+02,9.14E+02,4.14E-02,1.83E-01
507,1.57E+02,7.31E+02,0.00E+00,2.33E-01
508,1.82E+02,8.23E+02,1.48E-02,1.96E-01
509,2.01E+02,9.36E+02,4.55E-02,1.58E-01
510,1.87E+02,9.37E+02,4.95E-02,1.86E-01
511,1.57E+02,7.41E+02,0.00E+00,2.22E-01
512,1.92E+02,8.68E+02,2.75E-02,1.80E-01
513,1.47E+02,7.41E+02,0.00E+00,2.37E-01
514,1.87E+02,8.50E+02,2.28E-02,1.86E-01
515,2.01E+02,9.36E+02,4.55E-02,1.58E-01
516,2.00E+02,9.36E+02,4.58E-02,1.59E-01
517,1.52E+02,8.32E+02,3.10E-02,2.16E-01
518,1.61E+02,7.41E+02,0.00E+00,2.16E-01
519,1.86E+02,9.36E+02,4.96E-02,1.86E-01
520,1.57E+02,7.42E+02,0.00E+00,2.22E-01
521,2.01E+02,9.34E+02,4.49E-02,1.58E-01
522,1.87E+02,9.21E+02,4.45E-02,1.81E-01
523,1.37E+02,7.37E+02,4.52E-03,2.35E-01
524,1.08E+02,7.41E+02,4.00E-02,2.67E-01
525,1.69E+02,7.82E+02,4.63E-03,2.09E-01
526,1.74E+02,8.31E+02,1.96E-02,2.04E-01
527,1.90E+02,8.68E+02,2.76E-02,1.79E-01
528,1.65E+02,7.82E+02,6.13E-03,2.12E-01
529,1.61E+02,7.41E+02,0.00E+00,2.16E-01
530,1.61E+02,8.74E+02,4.05E-02,2.04E-01
531,1.86E+02,8.50E+02,2.25E-02,1.96E-01
532,1.82E+02,8.23E+02,1.47E-02,1.96E-01
533,2.01E+02,9.34E+02,4.49E-02,1.58E-01
534,1.49E+02,7.41E+02,4.12E-09,2.34E-01
535,1.74E+02,7.90E+02,5.98E-03,2.06E-01
536,1.61E+02,8.49E+02,3.16E-02,2.03E-01
537,2.01E+02,9.34E+02,4.49E-02,1.58E-01
538,1.33E+02,7.54E+02,1.60E-02,2.35E-01
539,2.00E+02,9.36E+02,4.61E-02,1.74E-01
540,1.38E+02,7.45E+02,7.57E-03,2.43E-01
541,2.01E+02,9.34E+02,4.49E-02,1.58E-01
542,2.01E+02,9.34E+02,4.49E-02,1.58E-01
543,2.01E+02,9.34E+02,4.50E-02,1.58E-01
544,2.00E+02,9.16E+02,4.01E-02,1.74E-01
545,1.60E+02,8.50E+02,3.24E-02,2.04E-01
546,1.35E+02,8.39E+02,4.79E-02,2.24E-01
547,1.83E+02,9.17E+02,4.43E-02,1.82E-01
548,2.01E+02,9.34E+02,4.49E-02,1.58E-01
549,1.61E+02,7.41E+02,0.00E+00,2.16E-01
550,1.99E+02,9.11E+02,3.90E-02,1.83E-01
551,2.01E+02,9.34E+02,4.49E-02,1.58E-01
552,1.61E+02,7.41E+02,0.00E+00,2.16E-01
553,1.66E+02,7.73E+02,2.67E-03,2.11E-01
554,1.86E+02,9.14E+02,4.25E-02,1.89E-01
555,2.01E+02,9.34E+02,4.49E-02,1.58E-01
556,1.20E+02,6.85E+02,0.00E+00,2.65E-01
557,1.92E+02,8.77E+02,3.00E-02,1.80E-01
558,1.58E+02,8.50E+02,3.37E-02,2.05E-01
559,1.74E+02,9.00E+02,4.29E-02,1.96E-01
560,1.65E+02,7.73E+02,2.39E-03,2.13E-01
561,1.61E+02,7.41E+02,0.00E+00,2.31E-01
562,1.82E+02,8.23E+02,1.47E-02,1.96E-01
563,1.60E+02,7.89E+02,1.05E-02,2.18E-01
564,1.89E+02,8.77E+02,3.02E-02,1.90E-01
565,1.63E+02,8.94E+02,4.61E-02,1.92E-01
566,1.86E+02,8.50E+02,2.26E-02,1.88E-01
567,1.57E+02,8.50E+02,3.41E-02,2.06E-01
568,1.63E+02,7.41E+02,0.00E+00,2.24E-01
569,1.82E+02,8.71E+02,3.05E-02,1.85E-01
570,1.92E+02,8.93E+02,3.50E-02,1.78E-01
571,2.00E+02,9.16E+02,4.03E-02,1.74E-01
572,1.49E+02,8.49E+02,3.92E-02,2.13E-01
573,1.87E+02,8.50E+02,2.26E-02,1.84E-01
574,1.61E+02,8.94E+02,4.74E-02,2.04E-01
575,1.92E+02,8.94E+02,3.51E-02,1.78E-01
576,1.72E+02,9.01E+02,4.37E-02,1.97E-01
577,2.01E+02,9.34E+02,4.49E-02,1.58E-01
578,1.92E+02,8.94E+02,3.49E-02,1.76E-01
579,1.92E+02,8.94E+02,3.49E-02,1.76E-01
580,1.62E+02,7.51E+02,0.00E+00,2.17E-01
581,1.74E+02,7.89E+02,5.38E-03,2.06E-01
582,1.49E+02,7.92E+02,1.80E-02,2.28E-01
583,2.01E+02,9.30E+02,4.35E-02,1.80E-01
584,1.92E+02,8.77E+02,3.00E-02,1.80E-01
585,1.81E+02,9.26E+02,4.77E-02,1.83E-01
586,1.74E+02,7.89E+02,5.67E-03,2.01E-01
587,1.87E+02,8.50E+02,2.26E-02,1.84E-01
588,1.74E+02,7.89E+02,5.62E-03,2.06E-01
589,2.01E+02,9.34E+02,4.49E-02,1.58E-01
590,1.62E+02,7.47E+02,0.00E+00,2.15E-01
591,2.00E+02,9.34E+02,4.55E-02,1.74E-01
592,1.62E+02,8.26E+02,2.29E-02,2.02E-01
593,2.00E+02,9.16E+02,4.01E-02,1.74E-01
594,1.62E+02,7.47E+02,0.00E+00,2.15E-01
595,1.74E+02,7.97E+02,8.36E-03,2.06E-01
596,1.86E+02,8.44E+02,2.08E-02,1.84E-01
597,2.01E+02,9.33E+02,4.50E-02,1.74E-01
598,1.69E+02,8.05E+02,1.26E-02,2.10E-01
599,1.76E+02,9.15E+02,4.69E-02,1.88E-01
600,1.92E+02,9.14E+02,4.13E-02,1.82E-01
601,1.92E+02,8.77E+02,3.00E-02,1.80E-01
602,1.82E+02,8.23E+02,1.49E-02,1.98E-01
603,2.00E+02,9.16E+02,4.01E-02,1.74E-01
604,1.84E+02,8.44E+02,2.11E-02,1.87E-01
